Generación,x,Fitness
1,7.252473445417888,0.09372972815026298
2,5.0053859011343755,0.1831190353537416
3,4.596490631411598,0.21464801901643155
4,4.596490631411598,0.21464801901643155
5,4.596490631411598,0.21464801901643155
6,4.596490631411598,0.21464801901643155
7,4.596490631411598,0.21464801901643155
8,4.596490631411598,0.21464801901643155
9,4.596490631411598,0.21464801901643155
10,4.596490631411598,0.21464801901643155
11,4.596490631411598,0.21464801901643155
12,4.596490631411598,0.21464801901643155
13,4.596490631411598,0.21464801901643155
14,4.596490631411598,0.21464801901643155
15,4.596490631411598,0.21464801901643155
16,4.596490631411598,0.21464801901643155
17,4.596490631411598,0.21464801901643155
18,4.596490631411598,0.21464801901643155
19,4.596490631411598,0.21464801901643155
20,4.596490631411598,0.21464801901643155
21,4.596490631411598,0.21464801901643155
22,4.596490631411598,0.21464801901643155
23,4.596490631411598,0.21464801901643155
24,4.596490631411598,0.21464801901643155
25,4.596490631411598,0.21464801901643155
26,4.596490631411598,0.21464801901643155
27,4.596490631411598,0.21464801901643155
28,4.596490631411598,0.21464801901643155
29,4.596490631411598,0.21464801901643155
30,4.596490631411598,0.21464801901643155
31,4.596490631411598,0.21464801901643155
32,4.599094423991625,0.21465512046589857
33,4.599094423991625,0.21465512046589857
34,4.599094423991625,0.21465512046589857
35,4.599094423991625,0.21465512046589857
36,4.599094423991625,0.21465512046589857
37,4.599094423991625,0.21465512046589857
38,4.599094423991625,0.21465512046589857
39,4.599094423991625,0.21465512046589857
40,4.599094423991625,0.21465512046589857
41,4.599094423991625,0.21465512046589857
42,4.599094423991625,0.21465512046589857
43,4.599094423991625,0.21465512046589857
44,4.599094423991625,0.21465512046589857
45,4.599094423991625,0.21465512046589857
46,4.599094423991625,0.21465512046589857
47,4.599094423991625,0.21465512046589857
48,4.599094423991625,0.21465512046589857
49,4.599094423991625,0.21465512046589857
50,4.599094423991625,0.21465512046589857
51,4.599094423991625,0.21465512046589857
52,4.599094423991625,0.21465512046589857
53,4.599094423991625,0.21465512046589857
54,4.599094423991625,0.21465512046589857
55,4.599094423991625,0.21465512046589857
56,4.599094423991625,0.21465512046589857
57,4.599094423991625,0.21465512046589857
58,4.599094423991625,0.21465512046589857
59,4.599094423991625,0.21465512046589857
60,4.599094423991625,0.21465512046589857
61,4.599094423991625,0.21465512046589857
62,4.599094423991625,0.21465512046589857
63,4.599094423991625,0.21465512046589857
64,4.599094423991625,0.21465512046589857
65,4.599094423991625,0.21465512046589857
66,4.599094423991625,0.21465512046589857
67,4.599094423991625,0.21465512046589857
68,4.599094423991625,0.21465512046589857
69,4.599094423991625,0.21465512046589857
70,4.599094423991625,0.21465512046589857
71,4.599094423991625,0.21465512046589857
72,4.599094423991625,0.21465512046589857
73,4.599094423991625,0.21465512046589857
74,4.599094423991625,0.21465512046589857
75,4.599094423991625,0.21465512046589857
76,4.599094423991625,0.21465512046589857
77,4.599094423991625,0.21465512046589857
78,4.599094423991625,0.21465512046589857
79,4.607721230767388,0.21465808384172008
80,4.607721230767388,0.21465808384172008
81,4.603930799043363,0.2146606710370012
82,4.604457618228429,0.21466067608180298
83,4.604258675014718,0.21466068801364258
84,4.604221169630378,0.214660688381926
85,4.604218627588465,0.21466068838529245
86,4.604218627588465,0.21466068838529245
87,4.604217211563957,0.2146606883859787
88,4.6042168191842965,0.21466068838601834
89,4.6042168191842965,0.21466068838601834
90,4.6042168191842965,0.21466068838601834
91,4.6042168191842965,0.21466068838601834
92,4.6042168191842965,0.21466068838601834
93,4.604216820100067,0.21466068838601837
94,4.604216820100067,0.21466068838601837
95,4.604216820100067,0.21466068838601837
96,4.604216820100067,0.21466068838601837
97,4.604216820100067,0.21466068838601837
98,4.604216820100067,0.21466068838601837
99,4.604216820100067,0.21466068838601837
100,4.604216820100067,0.21466068838601837
101,4.604216820100067,0.21466068838601837
102,4.604216820100067,0.21466068838601837
103,4.604216820100067,0.21466068838601837
104,4.604216820100067,0.21466068838601837
105,4.604216820100067,0.21466068838601837
106,4.604216820100067,0.21466068838601837
107,4.604216820100067,0.21466068838601837
108,4.604216820100067,0.21466068838601837
109,4.604216820100067,0.21466068838601837
110,4.604216820100067,0.21466068838601837
111,4.604216820100067,0.21466068838601837
112,4.604216820100067,0.21466068838601837
113,4.604216820100067,0.21466068838601837
114,4.604216820100067,0.21466068838601837
115,4.604216820100067,0.21466068838601837
116,4.604216820100067,0.21466068838601837
117,4.604216820100067,0.21466068838601837
118,4.604216820100067,0.21466068838601837
119,4.604216820100067,0.21466068838601837
120,4.604216820100067,0.21466068838601837
121,4.604216820100067,0.21466068838601837
122,4.604216820100067,0.21466068838601837
123,4.604216820100067,0.21466068838601837
124,4.604216820100067,0.21466068838601837
125,4.604216820100067,0.21466068838601837
126,4.604216820100067,0.21466068838601837
127,4.604216820100067,0.21466068838601837
128,4.604216820100067,0.21466068838601837
129,4.604216820100067,0.21466068838601837
130,4.604216820100067,0.21466068838601837
131,4.604216820100067,0.21466068838601837
132,4.604216820100067,0.21466068838601837
