Generación,x,y,Fitness
1,1.4481582771757555,5.667801304754931,41.52826297003648
2,1.4481582771757555,5.667801304754931,41.52826297003648
3,1.4481582771757555,5.667801304754931,41.52826297003648
4,1.462040284983035,6.341770026164782,42.97256170394304
5,1.462040284983035,6.341770026164782,42.97256170394304
6,1.462040284983035,6.497075205708587,47.67434260250931
7,1.462040284983035,6.497075205708587,47.67434260250931
8,1.462040284983035,6.497075205708587,47.67434260250931
9,1.462040284983035,6.497075205708587,47.67434260250931
10,1.462040284983035,6.50384820487194,47.679881155298474
11,1.462040284983035,6.502566709259668,47.680222243504836
12,1.462040284983035,6.502566709259668,47.680222243504836
13,1.4822024648495713,6.504020600643068,47.92057308513038
14,1.4822024648495713,6.504020600643068,47.92057308513038
15,1.4822024648495713,6.504020600643068,47.92057308513038
16,1.4406931687662679,7.470039942305056,48.047785152786005
17,1.4406931687662679,7.470039942305056,48.047785152786005
18,1.4406931687662679,7.470039942305056,48.047785152786005
19,1.4406931687662679,7.470039942305057,48.04778515278602
20,1.440693168766268,7.470039942305057,48.04778515278603
21,1.440693168766268,7.470039942305057,48.04778515278603
22,1.440693168766268,7.470039942305057,48.04778515278603
23,1.5229295599728816,7.470039942305057,48.71270955242609
24,1.5025002191416534,7.470039942305057,48.79464872925843
25,1.5025002191416534,7.470039942305057,48.79464872925843
26,1.5060383769596026,8.44210045309829,49.28647949573245
27,1.5060383769596026,8.44210045309829,49.28647949573245
28,1.5060383769596026,8.488262425207731,49.95992184100787
29,1.5060383769596026,8.488262425207731,49.95992184100787
30,1.5060383769596026,8.488262425207731,49.95992184100787
31,1.5060383769596026,8.509748169099819,49.98983842451474
32,1.5060383769596026,8.50332023106193,49.99998620325743
33,1.5060383769596026,8.50332023106193,49.99998620325743
34,1.5060383769596026,8.50332023106193,49.99998620325743
35,1.5060383769596026,8.50332023106193,49.99998620325743
36,1.5060383769596026,8.50332023106193,49.99998620325743
37,1.5060383769596026,8.50332023106193,49.99998620325743
38,1.5060383769596026,8.50332023106193,49.99998620325743
39,1.5060383769596026,8.50332023106193,49.99998620325743
40,1.5060383769596026,8.50332023106193,49.99998620325743
41,1.5060383769596026,8.50332023106193,49.99998620325743
42,1.5060383769596026,8.50332023106193,49.99998620325743
43,1.5060383769596026,8.50332023106193,49.99998620325743
44,1.5060383769596026,8.50332023106193,49.99998620325743
45,2.5199073541743204,8.502926935439547,50.94301819951511
46,2.518286291960289,8.502927206445074,50.95358912599674
47,2.518286291960289,8.502927206445074,50.95358912599674
48,2.518286291960289,8.502927206445074,50.95358912599674
49,2.518286291960289,8.502927206445074,50.95358912599674
50,2.518286291960289,8.502927206445074,50.95358912599674
51,2.518286291960289,8.502927206445074,50.95358912599674
52,2.518286291960289,8.502927206445074,50.95358912599674
53,2.5052791437002515,8.502927206445074,51.00101434985856
54,2.5052791437002515,8.502927206445074,51.00101434985856
55,2.5052791437002515,8.502927206445074,51.00101434985856
56,2.5052791437002515,8.502927206445074,51.00101434985856
57,2.5052791437002515,8.502927206445074,51.00101434985856
58,2.5052791437002515,8.502927206445074,51.00101434985856
59,2.5052791437002515,8.502927206445074,51.00101434985856
60,2.5052791437002515,8.502927206445074,51.00101434985856
61,2.5052791437002515,8.502927206445074,51.00101434985856
62,2.5052791437002515,8.502927206445074,51.00101434985856
63,2.5052791437002515,8.502927206445074,51.00101434985856
64,3.4597704954784607,8.502927206445074,51.64324177364096
65,3.4597704954784607,8.502927206445074,51.64324177364096
66,3.4597704954784607,8.502927206445074,51.64324177364096
67,3.4597704954784607,8.502927206445074,51.64324177364096
68,3.4597704954784607,8.502927206445074,51.64324177364096
69,3.4597704954784607,9.477355500856019,52.51831461553222
70,3.4597704954784607,9.477355500856019,52.51831461553222
71,3.4597704954784607,9.477355500856019,52.51831461553222
72,3.501252617072733,9.469107452395587,52.78226002773332
73,3.501252617072733,9.469107452395587,52.78226002773332
74,3.501252617072733,9.469107452395587,52.78226002773332
75,3.4911319593132273,9.51470420831026,52.947668313591535
76,3.495363944150596,9.493477118179761,52.97620135093937
77,3.4942444163602495,9.499092525186763,52.98663614314776
78,3.4942444163602495,9.499092525186763,52.98663614314776
79,3.4942444163602495,9.499092525186763,52.98663614314776
80,3.4942444163602495,9.499092525186763,52.98663614314776
81,3.4942444163602495,9.499092525186763,52.98663614314776
82,3.4942444163602495,9.499092525186763,52.98663614314776
83,3.4942444163602495,9.499092525186763,52.98663614314776
84,3.4942444163602495,9.499092525186763,52.98663614314776
85,3.4942444163602495,9.501258627824587,52.988652103947146
86,3.4942444163602495,9.501694496072702,52.988833898165296
87,4.482199105664132,9.501178621525998,53.920620704523344
88,4.482199105664132,9.501178621525998,53.920620704523344
89,4.482199105664132,9.501178621525998,53.920620704523344
90,4.482199105664132,9.501178621525998,53.920620704523344
91,4.482199105664132,9.501178621525998,53.920620704523344
92,4.482199105664132,9.501178621525998,53.920620704523344
93,4.482199105664132,9.501178621525998,53.920620704523344
94,4.482199105664132,9.501178621525998,53.920620704523344
95,4.488769369636836,9.501178621525998,53.96478763091562
96,4.488769369636836,9.501178621525998,53.96478763091562
97,4.488769369636836,9.501178621525998,53.96478763091562
98,4.488769369636836,9.501178621525998,53.96478763091562
99,4.488769369636836,9.501178621525998,53.96478763091562
100,4.499275336018414,9.501178621525998,54.000076093950014
101,4.499275336018414,9.501178621525998,54.000076093950014
102,4.499275336018414,9.501178621525998,54.000076093950014
103,4.499275336018414,9.501178621525998,54.000076093950014
104,4.499275336018414,9.501178621525998,54.000076093950014
105,4.499275336018414,9.501178621525998,54.000076093950014
106,4.499275336018414,9.501178621525998,54.000076093950014
107,4.499275336018414,9.501178621525998,54.000076093950014
108,4.499275336018414,9.501178621525998,54.000076093950014
109,4.503036503402895,9.501178621525998,54.002120949712435
110,4.503036503402895,9.501178621525998,54.002120949712435
111,4.503036503402895,9.501178621525998,54.002120949712435
112,5.489831190824886,9.501178621525998,54.97033128365497
113,5.489831190824886,9.501178621525998,54.97033128365497
114,5.489831190824886,9.501178621525998,54.97033128365497
115,5.489831190824886,9.501178621525998,54.97033128365497
116,5.489831190824886,9.501178621525998,54.97033128365497
117,5.489831190824886,9.501178621525998,54.97033128365497
118,5.489831190824886,9.501178621525998,54.97033128365497
119,5.489831190824886,9.501178621525998,54.97033128365497
120,5.489831190824886,9.501178621525998,54.97033128365497
121,5.489831190824886,9.501178621525998,54.97033128365497
122,5.489831190824886,9.501178621525998,54.97033128365497
123,5.489831190824886,9.501178621525998,54.97033128365497
124,5.489831190824886,9.501178621525998,54.97033128365497
125,5.489831190824886,9.501178621525998,54.97033128365497
126,5.489831190824886,9.501178621525998,54.97033128365497
127,5.489831190824886,9.501178621525998,54.97033128365497
128,5.489831190824886,9.501178621525998,54.97033128365497
129,5.489831190824886,9.501178621525998,54.97033128365497
130,6.477817367920974,9.516256291627668,55.84498135435852
131,6.500991308135196,9.508682042062267,55.99460407254377
132,6.500991308135196,9.508682042062267,55.99460407254377
133,6.500991308135196,9.508682042062267,55.99460407254377
134,6.500991308135196,9.508682042062267,55.99460407254377
135,6.500991308135196,9.508682042062267,55.99460407254377
136,6.500991308135196,9.508682042062267,55.99460407254377
137,6.5006377492695195,9.504655704382815,56.00093488608427
138,6.5006377492695195,9.504655704382815,56.00093488608427
139,6.5006377492695195,9.504655704382815,56.00093488608427
140,6.5006377492695195,9.504655704382815,56.00093488608427
141,6.5006377492695195,9.504655704382815,56.00093488608427
142,6.5006377492695195,9.504655704382815,56.00093488608427
143,6.5006377492695195,9.504655704382815,56.00093488608427
144,6.5006377492695195,9.504655704382815,56.00093488608427
145,7.474094505573199,9.504732366567179,56.84222997967644
146,7.474094505573199,9.504732366567179,56.84222997967644
147,7.508299903184161,9.5047191624103,56.99502842616792
148,7.508299903184161,9.5047191624103,56.99502842616792
149,7.508299903184161,9.5047191624103,56.99502842616792
150,7.503998270400971,9.504808411309984,57.00108778527333
151,7.503998270400971,9.504808411309984,57.00108778527333
152,7.503998270400971,9.504808411309984,57.00108778527333
153,7.503998270400971,9.504808411309984,57.00108778527333
154,7.503998270400971,9.504808411309984,57.00108778527333
155,7.503998270400971,9.504808411309984,57.00108778527333
156,7.503998270400971,9.504808411309984,57.00108778527333
157,7.503998270400971,9.504808411309984,57.00108778527333
158,7.503998270400971,9.504808411309984,57.00108778527333
159,7.503998270400971,9.504808411309984,57.00108778527333
160,8.442009330522197,9.504808411309984,57.28575257856539
161,8.442009330522197,9.504808411309984,57.28575257856539
162,8.442009330522197,9.504808411309984,57.28575257856539
163,8.442009330522197,9.504808411309984,57.28575257856539
164,8.498212577602384,9.504808411309984,57.997826832072036
165,8.498212577602384,9.504808411309984,57.997826832072036
166,8.498212577602384,9.504808411309984,57.997826832072036
167,8.498212577602384,9.504808411309984,57.997826832072036
168,8.498212577602384,9.504808411309984,57.997826832072036
169,8.498212577602384,9.504808411309984,57.997826832072036
170,8.498212577602384,9.504808411309984,57.997826832072036
171,8.498212577602384,9.504808411309984,57.997826832072036
172,8.498212577602384,9.504808411309984,57.997826832072036
173,8.498212577602384,9.504808411309984,57.997826832072036
174,8.498212577602384,9.504808411309984,57.997826832072036
175,8.498212577602384,9.504808411309984,57.997826832072036
176,9.440176221755772,9.504808411309984,58.24225627208678
177,9.440176221755772,9.504808411309984,58.24225627208678
178,9.440176221755772,9.504808411309984,58.24225627208678
179,9.440176221755772,9.504808411309984,58.24225627208678
180,9.440176221755772,9.504808411309984,58.24225627208678
181,9.505927902783222,9.504808411309984,58.999237232103184
182,9.501878384805408,9.50241524749014,59.00244572711439
183,9.501878384805408,9.50241524749014,59.00244572711439
184,9.501878384805408,9.50241524749014,59.00244572711439
185,9.501878384805408,9.50241524749014,59.00244572711439
186,9.501878384805408,9.50241524749014,59.00244572711439
187,9.501878384805408,9.50241524749014,59.00244572711439
188,9.501878384805408,9.50241524749014,59.00244572711439
189,9.501878384805408,9.50241524749014,59.00244572711439
190,9.501878384805408,9.50241524749014,59.00244572711439
191,9.501878384805408,9.50241524749014,59.00244572711439
192,9.501878384805408,9.50241524749014,59.00244572711439
193,9.501878384805408,9.50241524749014,59.00244572711439
194,9.501878384805408,9.50241524749014,59.00244572711439
195,9.501878384805408,9.50241524749014,59.00244572711439
196,9.50189086196308,9.502368373249283,59.00244630628321
197,9.50189086196308,9.502368373249283,59.00244630628321
198,9.50189086196308,9.502368373249283,59.00244630628321
199,9.50189086196308,9.502368373249283,59.00244630628321
